n,T,true_parameter,estimator_mean,estimator_variance
250,0,4,4.0713768,0.016712038534400002
250,1,4,4.2681424,0.016847849331199996
250,2,4,4.0864336,0.013431420390399995
250,3,4,4.009736800000001,0.016294514809599998
250,4,4,3.9699136000000004,0.012345870054399997
250,5,4,3.9803416,0.012841216684799994
250,6,4,3.831544,0.013120845824
250,7,4,3.7887312,0.015749718988800003
250,8,4,4.339604,0.015283276844799996
250,9,4,3.8587808000000003,0.015251623987200003
250,10,4,3.9074144000000004,0.014370524428799996
250,11,4,3.923104,0.0164591218176
250,12,4,4.299988,0.014435481606400008
250,13,4,3.9583879999999994,0.012716827884799997
250,14,4,4.19182,0.01902257717119999
250,15,4,4.040882400000001,0.015425388409599996
250,16,4,3.9300504000000003,0.015379277254400001
250,17,4,4.2129896,0.0168269259584
250,18,4,3.9483639999999993,0.01853641299839999
250,19,4,4.2871256,0.018146513824
250,20,4,3.91128,0.016609765376000007
250,21,4,4.2399472000000005,0.012756447884800001
250,22,4,4.217084,0.014830105043200004
250,23,4,3.809394400000001,0.012136604319999997
250,24,4,4.1892384,0.0116281417088
500,0,4,4.41799,0.008619027752
500,1,4,4.0600756,0.006306881928000001
500,2,4,3.5698704,0.0063445268415999985
500,3,4,3.5496772,0.0075850773904
500,4,4,4.117441199999999,0.009182783496000001
500,5,4,4.1916264,0.007407950316799998
500,6,4,4.060494,0.009434533713600002
500,7,4,4.1194992,0.008210550118399999
500,8,4,3.9494420000000003,0.006851048731200002
500,9,4,3.9009908,0.0053971649392
500,10,4,3.6497184000000003,0.0066683732960000006
500,11,4,4.0210324,0.008285244632
500,12,4,4.348048,0.005004635446400001
500,13,4,4.0496776,0.009859485619200001
500,14,4,4.2002264,0.0068730215776
500,15,4,3.920601200000001,0.007621199579199998
500,16,4,4.079041200000001,0.0085651544464
500,17,4,3.7694716,0.005800136049599999
500,18,4,4.418912000000001,0.0067485960640000005
500,19,4,3.60026,0.0058095737056000005
500,20,4,4.0999292,0.0079971660816
500,21,4,4.1202448,0.0083936293792
500,22,4,4.1199328,0.0060047890944
500,23,4,3.7701895999999997,0.0063429824512
500,24,4,4.2121828,0.0092496517296
750,0,4,3.739734933333333,0.004674829149866667
750,1,4,3.7791576,0.0037860159452444454
750,2,4,4.220102933333333,0.0045867208846222226
750,3,4,3.9301866666666667,0.006684883626666667
750,4,4,3.6598506666666673,0.0042678195626666676
750,5,4,4.279890933333333,0.0064480427726222225
750,6,4,3.769740266666667,0.003920436252444444
750,7,4,4.1712312,0.005338988654222223
750,8,4,3.8594413333333337,0.0037078812309333333
750,9,4,4.001879733333333,0.005755017464177776
750,10,4,3.9586071999999994,0.004509873393066666
750,11,4,4.148808,0.006207968770844445
750,12,4,3.8810744000000006,0.0038478188906666683
750,13,4,4.300489866666667,0.0060726470947555546
750,14,4,3.7599664000000006,0.004788828629333333
750,15,4,3.8481954666666667,0.005009309314133332
750,16,4,4.070586933333333,0.004943317649777778
750,17,4,4.179981866666667,0.005216301097244444
750,18,4,4.247841333333333,0.004939354510933333
750,19,4,4.2212928,0.005025253475555555
750,20,4,4.049606933333333,0.004771401560177778
750,21,4,4.001306933333334,0.003948449944888887
750,22,4,4.218627199999999,0.004543496042666666
750,23,4,4.069109066666666,0.004337226951822221
750,24,4,3.8507962666666673,0.0054307189176888895
1000,0,4,4.0696064,0.0025959987248
1000,1,4,3.7808532,0.0036233713232000004
1000,2,4,3.990557,0.0030596063356
1000,3,4,4.0003466,0.0029757987651999997
1000,4,4,3.740695,0.0026734311035999997
1000,5,4,4.228890600000001,0.0038022827972
1000,6,4,3.7005223999999997,0.0036431157536
1000,7,4,3.9706543999999995,0.0037883544943999995
1000,8,4,3.9901702,0.0036365489452000006
1000,9,4,4.159378800000001,0.0038090343784000003
1000,10,4,4.109905,0.0036994626804
1000,11,4,3.9300765999999996,0.0032096492524
1000,12,4,3.9498688,0.0031207013192000007
1000,13,4,3.720948,0.0041209890816000004
1000,14,4,4.0395786000000005,0.003545780609999999
1000,15,4,3.9301891999999996,0.0036502259751999997
1000,16,4,4.138732,0.0040201991064
1000,17,4,3.7498197999999996,0.0029766183475999995
1000,18,4,4.5868269999999995,0.0040295727915999995
1000,19,4,4.1011058,0.0052257238332
1000,20,4,3.7708158,0.0028911258268
1000,21,4,4.15898,0.004743952931199999
1000,22,4,4.150501600000001,0.0036185293088000004
1000,23,4,4.1199058,0.0038520963396
1000,24,4,3.7212376,0.0031285301199999995
