n,T,true_parameter,estimator_mean,estimator_variance
250,0,190,193.6398678812107,3.3134614266805067
250,1,190,186.4776878461553,3.524725370547037
250,2,190,192.0425345097783,3.8906435003948716
250,3,190,186.16818965416613,3.512069232450468
250,4,190,192.0496731136453,3.371170837962596
250,5,190,189.89215717850584,3.543945541533385
250,6,190,193.37851359249234,3.362306900779611
250,7,190,187.08504304939265,3.2984816664738927
250,8,190,192.77872113061613,2.875613516767691
250,9,190,189.2327713666971,3.3604325755838196
250,10,190,190.55582125041227,3.080759076355915
250,11,190,191.89191053736263,3.4918803877718263
250,12,190,192.0987763191816,3.549615395175228
250,13,190,188.81759008512046,3.0134772748461267
250,14,190,190.14080885177992,2.6937995844139224
250,15,190,191.8483645610963,3.684870097213718
250,16,190,189.79782503211294,3.2734286682445095
250,17,190,190.38243086681115,3.3831795577310935
250,18,190,189.32985749935781,3.8666071284972086
250,19,190,191.00729603195643,3.516032765085277
250,20,190,188.89771052191716,3.843008209778442
250,21,190,188.3937540087689,3.3658482288152376
250,22,190,189.09697162243168,3.2847125464838967
250,23,190,189.35185271799358,3.6390753482292824
250,24,190,186.36674553164144,3.3558632855886223
250,25,190,189.5631361210577,3.180972362140683
250,26,190,186.9139387250135,3.4933103998791943
250,27,190,193.6983126935743,2.7609659606767853
250,28,190,191.7394009038757,3.3296213750386583
250,29,190,189.29282641763808,3.7428749713290363
250,30,190,190.0576176913759,2.9689502142153352
250,31,190,190.93881386260585,3.3510680104664017
250,32,190,193.99224621876272,3.235314081453633
250,33,190,192.964855971743,3.4405844880355474
250,34,190,185.86937134758836,2.889116467101357
250,35,190,190.05484150672794,3.048945793588347
250,36,190,189.0325875383835,3.69746904513741
250,37,190,192.98999292586024,3.307826873978354
250,38,190,189.15395922808005,2.8620822920850553
250,39,190,189.6299850801569,3.2062756535749393
250,40,190,191.9999186676413,3.211908236615662
250,41,190,192.6185727314143,3.424386985735034
250,42,190,188.07299898074598,3.657407026830865
250,43,190,191.52786334560412,3.8051499412751135
250,44,190,192.2616770825677,3.3830330219540663
250,45,190,190.92463634043483,3.9896670483639474
250,46,190,192.66051046399716,4.393142846471197
250,47,190,191.95328711675577,3.011449669511046
250,48,190,188.93478117008013,2.889658761614477
250,49,190,187.91106022676226,3.935865979239132
250,50,190,192.87944942016603,4.019826702528885
250,51,190,188.79436206799969,3.41215921220254
250,52,190,191.74184233980463,3.0354084168235764
250,53,190,187.58167940587882,3.9830526783924762
250,54,190,188.66851192634158,2.907852090974845
250,55,190,190.73880462730213,3.170960705114911
250,56,190,189.61328078116753,3.526736983839298
250,57,190,191.83588129887858,3.3129782325425183
250,58,190,188.05473521544417,3.3493473686608852
250,59,190,187.96847314511086,3.6756594502636526
250,60,190,190.86476481365665,3.0842826856434113
250,61,190,185.97161056506357,3.3112323198641604
250,62,190,186.57047791080737,3.4372332248559365
250,63,190,193.84203156772236,3.279720028804113
250,64,190,189.82978691015057,3.7383155319133707
250,65,190,193.80420907692803,3.301437963278011
250,66,190,189.9980244398496,3.867150982759129
250,67,190,189.38013472509073,3.191515594217315
250,68,190,190.28305894455764,3.3888919571998635
250,69,190,188.64491852553402,3.0320062348046473
250,70,190,190.12916106936078,3.236089616831033
250,71,190,186.72188194612195,3.606701071476915
250,72,190,189.6433900243187,3.6311932158825764
250,73,190,189.65009125746914,3.6216981609925023
250,74,190,188.06479299293872,2.751799347967289
250,75,190,190.60582031988164,3.8190392011117007
250,76,190,187.57448429764358,3.3038665358990245
250,77,190,188.41043759559577,3.751473148776136
250,78,190,189.10902680507417,4.177174355071588
250,79,190,191.69960690056155,3.197345462493646
250,80,190,194.82065630662336,4.120985923505898
250,81,190,190.52546658252234,3.2578904318760626
250,82,190,190.85273266124207,3.2824392381788834
250,83,190,189.97976679386142,3.3500222281647374
250,84,190,187.52723115484596,3.4284730524978095
250,85,190,188.411231038055,3.321068536070668
250,86,190,187.97565134955983,3.27306530426448
250,87,190,192.21029258965152,3.622789297704677
250,88,190,189.19920326464586,3.1422214373861364
250,89,190,190.34443733608703,3.1040464071396805
250,90,190,187.90914488056524,3.2765230337320665
250,91,190,188.6529221103167,3.3371597350289854
250,92,190,187.81751761837228,3.2643448546262
250,93,190,192.44262628621442,3.4216730791086993
250,94,190,189.0488542389698,3.281385338484637
250,95,190,189.06430316579963,3.1552992283105583
250,96,190,189.55180705114836,3.6122751255180416
250,97,190,189.91320579634288,3.473067874208593
250,98,190,188.76769323225614,3.6530729800217814
250,99,190,188.9412453040113,3.628904084153409
500,0,190,188.64441457462468,1.624108744863193
500,1,190,192.41137507971888,1.7735329895685172
500,2,190,188.3102979054232,1.7443992425645287
500,3,190,191.25608868713792,1.73002478035647
500,4,190,190.18102917293348,1.8507688857768592
500,5,190,189.5215115178878,1.6467599923893346
500,6,190,189.10366812517177,1.9093241846810756
500,7,190,189.0117136403395,1.7061963856534992
500,8,190,188.61895085203315,1.7261426824911745
500,9,190,189.4521463782956,1.7795004371125696
500,10,190,190.87256882585078,1.711891799263244
500,11,190,191.84432441381517,1.6531775474671402
500,12,190,191.89772753373308,1.743885594812736
500,13,190,190.06337771301332,2.059565032225563
500,14,190,189.03251383424802,1.7640871129268472
500,15,190,190.05446241005646,1.8530690040871172
500,16,190,189.61963702902193,1.8219059353372207
500,17,190,190.10570601015652,1.8776038100401216
500,18,190,190.81529227172854,1.592122722407337
500,19,190,190.24725398386317,1.6244637274779907
500,20,190,189.89892572173386,1.6762586749912898
500,21,190,189.98886664405364,1.767785564090051
500,22,190,190.2922878223972,1.9365676749662382
500,23,190,191.45688721102556,1.7265517469622882
500,24,190,190.1746912155848,1.7823532351815914
500,25,190,190.69349051370133,1.7145248042745809
500,26,190,191.60743695380953,1.8812273999628537
500,27,190,190.36783425252833,1.7168516925212285
500,28,190,193.63651539069076,1.720790682173357
500,29,190,192.5479722151056,1.8237378921899847
500,30,190,190.46487790641214,2.102191138010686
500,31,190,190.7863415437136,1.7547663319178954
500,32,190,189.98579424488295,1.5612919821635463
500,33,190,189.37930322429162,1.830726245912875
500,34,190,186.667252250333,1.5253842065357794
500,35,190,187.81473659789077,1.8496546497789126
500,36,190,190.40854766756988,1.8695193853576846
500,37,190,190.82858449626573,1.9250139297240403
500,38,190,192.83630236591816,1.9690789320390223
500,39,190,191.51592722172583,1.7416361665212279
500,40,190,191.26533105528296,1.789609232246002
500,41,190,191.86227153622843,1.9476609570024004
500,42,190,191.60514033167658,1.585209631899427
500,43,190,190.61075495225205,1.865619873132875
500,44,190,189.714945136801,1.7836222525295913
500,45,190,188.73333457930343,1.7822043683898232
500,46,190,189.73866219310887,1.6568879118959479
500,47,190,188.08840986318472,1.6927594156453718
500,48,190,186.47940698480693,1.6673876497304554
500,49,190,192.01945445498228,1.913216787720732
500,50,190,191.63860540611228,1.779923028327524
500,51,190,191.02031941633024,1.8142690154768097
500,52,190,189.83624125917177,1.7030356400575797
500,53,190,189.57820364184977,1.7576126494262767
500,54,190,189.7026223191094,1.609273338566286
500,55,190,191.05174565358718,1.7903815878519143
500,56,190,192.2629858023642,1.5994193245775894
500,57,190,191.3502212737731,1.7282670345176627
500,58,190,187.97947820222086,1.5946726958880757
500,59,190,190.48330943647602,1.9285522283146137
500,60,190,190.75499613142722,1.9351999504163533
500,61,190,187.93442338822973,1.9251990790517426
500,62,190,190.77722738938496,1.7275024730722126
500,63,190,190.1936711502796,1.7596632207214689
500,64,190,190.15342236159822,1.775970869137683
500,65,190,189.25404272995965,1.6620428840205048
500,66,190,192.17578895029186,1.6603754446144776
500,67,190,190.50951950387693,1.7261559269190958
500,68,190,191.86730664374207,1.95872388349994
500,69,190,191.06354384446828,1.8872303383701339
500,70,190,192.20054993551952,1.7903038613737254
500,71,190,188.34526261550994,1.8738836101755578
500,72,190,189.25527253076365,1.6520280754097694
500,73,190,189.61605355807717,2.013041724134623
500,74,190,190.59001646779285,1.639074648805049
500,75,190,191.8826631079452,1.8342196685706285
500,76,190,188.14832081207166,1.901768585269627
500,77,190,190.20541893308524,1.7827022606457323
500,78,190,190.22456588030843,1.6887686296047402
500,79,190,190.77351842582732,1.7468902874548995
500,80,190,188.0264559830088,1.6124365076464144
500,81,190,190.06100494825841,1.7609268205783604
500,82,190,190.48622511206062,1.757839724692802
500,83,190,190.91337148355703,1.9798226153416951
500,84,190,189.785947901502,1.7329264134617233
500,85,190,191.1696741995164,1.4830623461398436
500,86,190,188.30979227019415,1.7331777363654268
500,87,190,188.04534333888424,1.610470393203623
500,88,190,189.54090733028247,1.5504571182774882
500,89,190,189.5515815118397,2.103334072146674
500,90,190,191.88621576903327,1.897890118213589
500,91,190,191.05342210643147,1.595824723238099
500,92,190,189.04418926051721,1.7207741170089388
500,93,190,188.32518844104706,1.9286320427614765
500,94,190,191.55495151011434,1.609306915798023
500,95,190,190.34451429132702,1.5477213454181857
500,96,190,190.03178811398237,1.686930565260112
500,97,190,189.6614965970899,1.585292902058694
500,98,190,191.38100999093615,1.8928601963792278
500,99,190,189.19115975123754,1.8831138196756918
750,0,190,188.91924870388647,1.2396651427235894
750,1,190,191.5423540723473,1.2378173904797904
750,2,190,188.48630329112586,1.1872320352201702
750,3,190,191.41366027774998,1.1994375926928798
750,4,190,190.04474694705542,1.1776699220543072
750,5,190,190.20413958408918,1.338898893757103
750,6,190,190.86584428990625,1.158253743873341
750,7,190,189.69883269764372,1.2131059077169002
750,8,190,188.28563378502747,1.2620582113841503
750,9,190,189.2978677600249,1.2369871811294648
750,10,190,189.99847313550208,1.105331904150414
750,11,190,190.79610306642553,1.0357669474555549
750,12,190,189.5126604147073,1.213253237320335
750,13,190,191.7340852083663,1.2022281730474647
750,14,190,190.2160497199489,1.1401701846307488
750,15,190,191.30641972660823,1.112029621329965
750,16,190,190.0045435237916,1.2087843403792733
750,17,190,191.3035727021871,1.1866791352214794
750,18,190,186.67614977672315,1.2332975427839405
750,19,190,189.91926989569163,1.2103362687653287
750,20,190,188.9981247109299,1.0926344358437192
750,21,190,190.05590678607598,1.2947843254048395
