n,T,true_parameter,estimator_mean,estimator_variance
250,0,4,191.11302073759765,4.801575304811351
250,1,4,190.75220927798478,5.3534935973347455
250,2,4,188.16263281544602,1.510923160796675
250,3,4,190.65451959796525,3.2521500691702756
250,4,4,190.6403285074264,1.1827991406573397
250,5,4,191.50737554629376,1.0553946935257397
250,6,4,188.571186459462,0.771869264218288
250,7,4,187.78444721025465,4.431662602897694
250,8,4,188.02914546422713,3.666115465120216
250,9,4,188.4200523671982,4.523948262429491
250,10,4,192.5568358842355,3.6422956225401206
250,11,4,191.45694484191327,3.2537850606554075
250,12,4,188.7376430106848,3.9440937097748887
250,13,4,188.96003992231596,3.2965429893467126
250,14,4,189.56776048673694,4.833237803488904
250,15,4,190.19633413152224,1.681636017061568
250,16,4,192.6459104873798,2.966679914312522
250,17,4,186.8073707935161,2.196309986311529
250,18,4,189.0166942679411,2.193291033332007
250,19,4,190.94395066473118,3.1375039276972823
250,20,4,187.7098259402826,3.8925731753231796
250,21,4,191.02545053848485,3.2729194922625497
250,22,4,188.97174244632086,5.214419934905733
250,23,4,192.0742637934223,5.09002324142667
250,24,4,192.32386796885217,2.2958777623885567
250,25,4,189.41201487068852,3.3799463871846194
250,26,4,189.16024303096478,2.6309235920239784
250,27,4,188.52905452884346,3.9776730938963873
250,28,4,189.34734731849318,3.1621047954560053
250,29,4,192.23102240363306,3.4271380254635595
250,30,4,186.28293216767833,5.235713805407178
250,31,4,189.47588152697674,4.253594450054861
250,32,4,192.18253296470886,1.5705874282306826
250,33,4,191.94471985664643,3.6908973241655842
250,34,4,192.1636763680777,3.7110064888267424
250,35,4,189.53812676405352,3.4565068584713976
250,36,4,189.75480950241126,3.311234926817304
250,37,4,193.7377625217489,3.2618194150810043
250,38,4,191.42675829725678,3.1036826848366994
250,39,4,189.64651484207425,2.6844503435876557
250,40,4,186.63520692487683,5.085291101946918
250,41,4,191.24170358148552,2.9574839550247356
250,42,4,193.0120794616877,3.267545443611793
250,43,4,191.42944272568133,2.8379916216769776
250,44,4,190.367686237841,1.9207079728871093
250,45,4,189.83059558399822,2.57349188878035
250,46,4,191.4769779012196,3.636496395988009
250,47,4,191.3713801734204,2.65521397013308
250,48,4,191.3234544486226,4.402510364921403
250,49,4,192.0785559748199,4.567856489558428
250,50,4,190.71746380452564,2.5998305012735505
250,51,4,187.4698083117618,3.7466563183029633
250,52,4,187.00189360575388,7.100375462537755
250,53,4,189.72658415720161,3.6062477314881134
250,54,4,190.35608737715495,2.1253955995875584
250,55,4,189.26975346429842,3.5853871076227635
250,56,4,186.74718007749965,6.448648660260629
250,57,4,186.1898185065039,3.4097271391263897
250,58,4,188.08441413398117,2.92715875875668
250,59,4,190.282402763366,5.749836233277212
250,60,4,191.9339515574685,7.409774273814517
250,61,4,190.06940447446976,6.152320690864871
250,62,4,189.3399447283188,8.003939206544159
250,63,4,194.59989730039428,4.509182560445373
250,64,4,188.10750099551657,2.9796577745256867
250,65,4,190.28163107625335,3.445496834468159
250,66,4,189.93857928557685,2.5666624738066544
250,67,4,189.95758509743146,2.6369212723297357
250,68,4,190.15878914378396,5.685555878744468
250,69,4,188.29576026465557,2.6520469073478883
250,70,4,192.77672049754446,1.552110774123402
250,71,4,189.53135565374347,3.802457224600451
250,72,4,188.57900106062206,5.596753523571426
250,73,4,196.70821555272832,1.9500075226920353
250,74,4,190.28718839608595,0.8808252229568293
250,75,4,189.98305777968298,4.299474656596279
250,76,4,189.41216564505174,3.6189995373044197
250,77,4,190.14844642654356,2.368218038003427
250,78,4,189.72507417088892,1.515410607262442
250,79,4,192.8024288509947,0.982856197420416
250,80,4,190.11015860917286,4.831546617699947
250,81,4,189.61825370062087,2.049128982992943
250,82,4,192.21507701243178,3.2083247922767804
250,83,4,185.07415505275563,2.5042110236398445
250,84,4,188.1300586727687,3.7684357696420783
250,85,4,190.1123821790602,0.7634961777917129
250,86,4,185.94735857555992,2.5314448473457056
250,87,4,189.77637695388592,4.754990921770344
250,88,4,191.88260721278806,4.768799380434614
250,89,4,189.70138976987113,3.6459319756116075
250,90,4,192.12635737081945,2.5362419869930637
250,91,4,189.380606131939,2.539400710811482
250,92,4,188.54941148543236,3.83729205785723
250,93,4,192.72070325661542,4.23593031551241
250,94,4,187.3254835462988,6.066464615401082
250,95,4,192.29972587997213,3.3400923093411286
250,96,4,187.97004433092292,1.411789304718414
250,97,4,191.87212758800712,2.8250117972646973
250,98,4,190.96805366339302,3.0362010022906842
250,99,4,187.65584438428985,3.5309152440449587
500,0,4,186.569317511547,1.4991087767426226
500,1,4,189.83341948705555,1.7711646547046467
500,2,4,190.3222318819297,0.8092142957042935
500,3,4,191.59256997831477,1.0060312921030552
500,4,4,188.31589225422712,0.9741372874689004
500,5,4,190.4936523552072,0.41164867612143513
500,6,4,190.7218096778518,0.9844612402177504
500,7,4,188.51420452522234,1.3481900473186923
500,8,4,189.97391524956137,1.4837622483856479
500,9,4,189.01023340033035,2.145410233454132
500,10,4,191.4859809795255,2.495994404919652
500,11,4,190.86332426313612,2.2396455124861303
500,12,4,187.12882078488335,1.154698527256904
500,13,4,190.405586236292,2.3105295529408476
500,14,4,188.6863716587697,1.8193204086580146
500,15,4,191.90368298153084,1.1754251481704963
500,16,4,187.90908508901586,1.2596246834170568
500,17,4,189.70725083697795,2.3493950355166815
500,18,4,189.55890072197548,1.0978197675770909
500,19,4,190.90324846502872,3.126230366519472
500,20,4,189.18170395737843,2.6260099540809394
500,21,4,190.05756986001597,1.0972195124796773
500,22,4,186.53771446791976,1.4305170292846785
500,23,4,192.5518338067649,1.945011094473302
500,24,4,190.34922624742245,1.5553390838109507
500,25,4,189.51293684535895,0.7961144553215613
500,26,4,190.17596476757907,1.1948036483276863
500,27,4,190.8062183174583,0.9197165186417671
500,28,4,190.08944963688327,0.8336756901457335
500,29,4,188.5470741817972,1.3318355301522544
500,30,4,190.3463724907728,0.9505022688329549
500,31,4,189.69772562139215,1.0890107974514192
500,32,4,189.98982032529548,2.04803994639314
500,33,4,189.20345762795063,0.8516619185870402
500,34,4,190.17180086526366,1.7955819214617352
500,35,4,190.7277755090398,1.7619920624388743
500,36,4,190.16620733960443,1.4200748294098386
500,37,4,192.0299180418938,1.4169826531477134
500,38,4,190.01421777309164,0.6457853552287378
500,39,4,190.2725503503037,1.4772038260583211
500,40,4,189.9953858437654,1.6329943436065963
500,41,4,190.3449105570267,0.9560018077898533
500,42,4,191.05468199157178,1.1232838060939634
500,43,4,187.6698728648642,1.3017284937460754
500,44,4,188.12709338489628,1.8065504748080454
500,45,4,190.6818591850115,1.3284673518950303
500,46,4,190.86532941703993,2.561405824345754
500,47,4,188.40214249314005,1.5142845990077258
500,48,4,188.59057116065782,0.4105108562409816
500,49,4,190.0124974409968,1.4288986176367457
500,50,4,189.685512999342,0.8522423105449105
500,51,4,189.6402349406024,3.074764782846999
500,52,4,190.3687104476851,1.4758275440244495
500,53,4,190.20726288456393,0.6750874304104579
500,54,4,189.5222351169956,1.9099827852125386
500,55,4,191.63054387769026,2.7466319458545456
500,56,4,189.02968061818189,0.9655538759182061
500,57,4,190.26817553889393,1.3677103702050175
500,58,4,188.44582044116027,1.5662864590637668
500,59,4,188.38718495312054,1.8261461275795885
500,60,4,188.96424822804877,2.933076176438092
500,61,4,189.7601238329161,3.1235035857263305
500,62,4,188.1828890076548,0.7180978448604207
500,63,4,190.4530517702445,2.3399392687550367
500,64,4,193.07569526672518,1.2797095354141914
500,65,4,188.6474270212762,0.450104491734231
500,66,4,191.0675750622233,0.6616962887886418
500,67,4,187.63871604637833,1.9389829874477755
500,68,4,190.61260105436577,0.9405955060253293
500,69,4,191.42124856634982,2.7934654206115783
500,70,4,189.77134769340142,2.907204321627343
500,71,4,188.18578545287355,2.2042026129007803
500,72,4,188.0819397666316,1.816753077916416
500,73,4,190.76160523352192,2.3929125770716366
500,74,4,191.6471364641605,2.0003940709651253
500,75,4,188.61791894126327,1.8971137680892742
500,76,4,192.5342048816255,2.2582244021132447
500,77,4,191.2980274720717,1.099006333541351
500,78,4,189.4782462743686,0.529149766018711
500,79,4,191.28311146606475,0.39723971249212137
500,80,4,191.45432414098875,0.6539998612159816
500,81,4,189.89171911611962,0.5792918287125536
