n,T,true_parameter,estimator_mean,estimator_variance
250,0,900,193.67888961019824,2.4472856368431084
250,1,900,189.17059580472767,2.1054101062198396
250,2,900,189.4061465637381,2.4680344820493887
250,3,900,188.66044129671883,4.128587703903136
250,4,900,190.53061177260466,1.861336666860898
250,5,900,189.95483817453155,3.385257033720934
250,6,900,191.94882655504276,3.177777951656892
250,7,900,191.29115523641397,5.688237686744257
250,8,900,190.836245998356,2.635650680099559
250,9,900,184.91423131436642,1.3166661529513919
250,10,900,188.86504188077674,2.0618187738106792
250,11,900,186.5825468237873,2.032846808638909
250,12,900,191.0170994113824,1.5489514186083526
250,13,900,186.99682771191692,2.942681951017165
250,14,900,193.18854359718156,3.7709051248423107
250,15,900,192.5969860665312,3.7945520666497856
250,16,900,190.29172169768304,2.476428778002402
250,17,900,192.82799552362974,2.9467837612169046
250,18,900,188.7166015291748,3.182383022474382
250,19,900,189.06061535142658,0.8064459568410376
250,20,900,190.051260482934,6.083724838019081
250,21,900,190.24482911615047,3.93485194911727
250,22,900,189.2697190266271,3.3150728896819457
250,23,900,189.35597346727027,1.7351694683287682
250,24,900,190.96663476326643,2.2622211559434815
250,25,900,187.03232959385224,4.995290876324809
250,26,900,190.28054843302667,2.7868979546538455
250,27,900,187.11467841303758,5.224718782943286
250,28,900,189.28962549314627,3.8239978538232173
250,29,900,190.84385933958055,1.015602208108548
250,30,900,187.51212885542134,3.9766141388574887
250,31,900,193.6448042534152,1.7590680725346022
250,32,900,191.68552677729352,3.0953120277951043
250,33,900,195.122387971034,3.3277206865416864
250,34,900,188.57371430672717,5.444254728528506
250,35,900,190.8728302961879,1.1687754090556555
250,36,900,190.63505366968826,1.3376257354312056
250,37,900,190.2538671639465,1.7179923351094768
250,38,900,190.23087833125373,3.5228792084664895
250,39,900,194.730327744342,4.023275859271283
250,40,900,188.24490779776133,0.9373306432303776
250,41,900,194.2327988457865,2.3586907928870606
250,42,900,192.72940787189094,2.3726517118503123
250,43,900,187.8113216525024,1.8357622554532533
250,44,900,189.31198726701172,4.303156127480423
250,45,900,190.5071453740937,2.293660657508105
250,46,900,187.33136421791426,1.9860593586186912
250,47,900,191.02537622481572,6.376458724904502
250,48,900,185.32194762733093,1.6382677201373386
250,49,900,192.9694239835515,2.0202762241559036
250,50,900,190.6138843112066,2.5874491573230616
250,51,900,189.9335524214913,5.29688801085651
250,52,900,188.4460906307014,3.7493276767780594
250,53,900,190.21667164654238,4.76387197600063
250,54,900,190.2091650749531,1.8388544554375017
250,55,900,186.77513244380748,5.837197208902855
250,56,900,191.5378528244757,1.2682825906635933
250,57,900,189.45242013050512,0.7786621848487464
250,58,900,193.11575112860132,6.742205017917014
250,59,900,189.32894439265615,3.258734555533036
250,60,900,190.8348788702903,1.7376275120187519
250,61,900,188.90520222475533,2.3330475685791807
250,62,900,193.54579366990407,6.668350666976406
250,63,900,193.85307686572233,2.508751979377032
250,64,900,190.73043127879626,4.1538434921230625
250,65,900,187.20121983778185,3.7797567043400497
250,66,900,188.80192807193845,2.872092061767351
250,67,900,188.4910947434546,1.1444939409424049
250,68,900,190.90029433233366,2.6735801450289527
250,69,900,187.09726697817132,1.2407208197584971
250,70,900,188.5486195235182,1.9979863071669057
250,71,900,189.09495531391713,3.296037837316767
250,72,900,190.0680692572262,2.0301406296922284
250,73,900,190.12914991288147,3.4947639358744373
250,74,900,189.89720882992074,2.6851270806666454
250,75,900,190.61537182157622,4.024745426146443
250,76,900,186.24640440886773,5.145913535343535
250,77,900,189.45853450643966,3.6314497881952024
250,78,900,190.25321907391267,2.275001968178231
250,79,900,187.29712416294396,2.5493774916994445
250,80,900,190.37448956560704,3.5850663494148725
250,81,900,190.67037898836136,5.468326887671128
250,82,900,189.03039621266518,3.5962711955469677
250,83,900,189.12163279911667,2.5425842907503555
250,84,900,192.47947907683854,3.6877140087321
250,85,900,187.71440408382313,3.349191166898425
250,86,900,188.20440181301234,1.5160595790011218
250,87,900,194.05067063859698,3.097561018273688
250,88,900,188.53118026102783,2.338021255048658
250,89,900,189.8116422173167,3.6593350894615044
250,90,900,189.26336443973,3.6317873053343632
250,91,900,189.18866314438435,3.42545560111298
250,92,900,191.11674287948898,2.6434892956060865
250,93,900,192.63556983943144,3.9215719729296246
250,94,900,192.2912956205248,4.0055908266643945
250,95,900,191.0743071664186,5.610677273624591
250,96,900,190.0695955000537,3.6145646338770425
250,97,900,193.3106165128073,3.8315580850297417
250,98,900,196.47896086096682,6.555199104681563
250,99,900,188.41130968855245,3.301810843132599
500,0,900,191.58089207595125,2.3429424765907205
500,1,900,189.82585128523925,1.641358791648387
500,2,900,192.9955077434476,1.757990003992962
500,3,900,191.5129126208979,0.6225211445395198
500,4,900,189.62095333324402,1.4986848657616725
500,5,900,190.84383759989083,1.731419152698909
500,6,900,190.98152221490096,1.3549036613262473
500,7,900,189.28741111957163,1.9022183839484081
500,8,900,191.30531606752567,1.082166086304672
500,9,900,188.1782561156766,1.4927307398352743
500,10,900,188.29360765869305,2.1313491642458184
500,11,900,192.4052468489105,1.351300091014212
500,12,900,190.60451637793534,0.7590628740784939
500,13,900,191.28680769142198,1.2698666061084718
500,14,900,188.05222432504647,2.0835371513019814
500,15,900,189.95088579680083,0.35280634779514086
500,16,900,188.535932368583,1.7439673727903184
500,17,900,188.691656304747,1.3603863643506022
500,18,900,190.0332709317027,1.9958196127375338
500,19,900,188.19902690867573,2.351582801297698
500,20,900,190.04569072530518,0.9986430962817788
500,21,900,188.45614876886302,1.213976872684754
500,22,900,187.99943514932616,1.1271007373956077
500,23,900,190.06523929305868,1.8723706046507271
500,24,900,190.8227462473326,2.0097081378790103
500,25,900,189.2853445460674,0.8795352832183945
500,26,900,190.29934500491544,1.1098073266935784
500,27,900,189.21074842572017,1.2253499380945827
500,28,900,188.01097278551055,1.7379190337912735
500,29,900,191.29269824560626,1.5768544442944457
500,30,900,191.73528392587218,3.3573595834836
500,31,900,190.68409867427437,1.2079534952483681
500,32,900,192.73084680056851,2.145590402343575
500,33,900,192.70704422048905,0.7916739207348377
500,34,900,191.40210180571592,0.663444656176576
500,35,900,191.92749532221046,1.3728190535995606
500,36,900,191.97452284021227,1.3485910936193348
500,37,900,192.698294743551,2.026935288246892
500,38,900,189.4922414728996,1.2854032705221723
500,39,900,189.69896904731525,5.247534362460787
500,40,900,185.81239121506331,0.4851805504967377
500,41,900,188.9487375183016,0.6428040047871516
500,42,900,186.30354696273918,1.5236525565229517
500,43,900,191.86447189718893,2.965966104015432
500,44,900,190.22372888553704,3.00646760747798
500,45,900,191.70134117583663,0.856003370588865
500,46,900,187.0190158568308,0.762109652030268
500,47,900,192.1350976936536,1.7390507829114576
500,48,900,190.21162828352232,1.7668956376143572
500,49,900,190.67774838464086,1.4946715815536813
500,50,900,185.5365537659278,2.7144030026989787
500,51,900,188.68479733531848,2.890971912877549
500,52,900,189.48189202483587,2.3343215281555576
500,53,900,190.1575270538981,1.5420158240360953
500,54,900,190.82568942431436,1.60173945823969
500,55,900,190.03206719671715,0.926089505728633
500,56,900,190.2284672370343,1.3670483260087518
500,57,900,190.0324719509734,1.190604141341657
500,58,900,188.64658126918113,1.1167795074604536
500,59,900,188.21687317759842,1.164889726696862
500,60,900,190.41491467471286,0.8566191458185213
500,61,900,190.34700671642042,0.9061159265004417
500,62,900,190.60753840021607,1.3275120146704402
500,63,900,190.46674730939353,0.5536005656141058
500,64,900,192.42239840741826,2.3410168622513643
500,65,900,191.69146133157534,2.0549850108456718
500,66,900,190.17206356807645,1.0139259534728893
500,67,900,188.3861329328157,0.7294503452383666
500,68,900,188.1748329150111,2.6540857924230385
500,69,900,189.69774499629656,0.5542773480043093
500,70,900,190.3898587332714,1.1290708415208228
500,71,900,190.1069602894185,2.20811490786039
500,72,900,190.81092371255968,3.382284617524963
500,73,900,188.71556049596308,0.6554284637004116
500,74,900,190.56318580457,1.244894889590769
500,75,900,192.39730786421637,1.2546317019689153
500,76,900,188.40562425088157,1.1753015588250226
500,77,900,190.50919858703844,1.2146579221657618
500,78,900,191.01807545338147,2.7093114660240194
500,79,900,192.14071777074668,1.9221161210825533
500,80,900,186.70160372305386,1.9783603135844612
500,81,900,187.73814557662325,0.7392907467537222
500,82,900,190.73124983645576,0.6620238013980319
500,83,900,190.305822148851,1.4168261313270296
500,84,900,188.26931466129585,0.9551008775387062
500,85,900,188.74947604964436,2.141612280001275
500,86,900,190.63930597607106,1.3373060751623427
500,87,900,188.83908099111025,2.752374189319469
500,88,900,188.72382781859298,1.5200000888807215
500,89,900,192.36682093021673,1.793151972185076
500,90,900,190.7776244541563,1.9557964681476836
500,91,900,188.6492259118928,2.3570845609236093
500,92,900,191.86885390739252,1.8058711695501626
500,93,900,193.27695335614368,1.158515456339876
500,94,900,190.4614141198694,2.0345669727510716
500,95,900,187.7213588320773,0.6000224507808674
500,96,900,190.5003550672159,1.0193060135541665
500,97,900,191.72201723764053,1.0410655284968808
500,98,900,189.55329094088546,0.7706048619175893
500,99,900,189.19840916949371,0.5899226459856192
750,0,900,189.5857927381963,0.9070017504920959
750,1,900,189.24546406900043,0.7926149315514353
750,2,900,189.81778574872112,1.1601399818861542
750,3,900,191.44473952662474,1.0264028695603855
750,4,900,190.46887747865244,0.5161902230981453
750,5,900,191.49414211656216,0.8112487828607827
750,6,900,190.22682638688934,1.5729773927931925
750,7,900,188.56366573162887,1.0131867491868436
750,8,900,187.89724359208347,1.5680109400375888
750,9,900,191.79294637961908,1.3475691574331852
750,10,900,190.88196250789593,1.7657963586077545
750,11,900,189.49527579477623,0.5623876252748248
750,12,900,189.22698499446864,1.5079682864855612
750,13,900,188.03186244133755,1.1653927993428952
750,14,900,191.54843860751544,2.1781055946443866
750,15,900,188.1404604016281,0.9323479601936345
750,16,900,188.1928433591243,1.8488034107080822
750,17,900,189.367266808784,1.1171136326602187
750,18,900,190.4685722827092,1.0668159711158318
750,19,900,188.76757634874318,0.4454451739269512
750,20,900,189.04388335056674,1.0861674791291722
750,21,900,189.11327237935296,0.8479007024138834
750,22,900,190.66593726373296,0.8049752805714379
750,23,900,190.57211081345298,0.4283401252856433
750,24,900,189.75312084854127,0.7019620955946752
750,25,900,190.06983971041112,1.4087735300531017
750,26,900,190.07040441466341,1.8160551493612633
750,27,900,192.5672964104655,1.1066578438752717
750,28,900,187.364258302077,1.7901126491599773
750,29,900,188.44710038466246,1.956784431800839
750,30,900,190.79753704864024,0.5584746486183987
750,31,900,189.44692633166338,1.9499248560651998
750,32,900,189.9317958587799,1.0714726741198712
750,33,900,191.67794476218774,0.5683947638446953
750,34,900,188.75661495873268,0.6686655340397374
750,35,900,189.15584395904264,0.7907199942385594
750,36,900,191.01003836815678,0.40484880658848044
750,37,900,187.80746633129556,0.9143526094029916
750,38,900,188.80841031820233,2.4896142092213083
750,39,900,190.34513049942368,1.5654559961539252
750,40,900,190.45142185606235,0.2642827115992238
750,41,900,191.05140142245273,2.4159327585851753
750,42,900,190.36876420050865,1.3472242703724564
750,43,900,191.87245761141665,0.9814974770699447
750,44,900,190.92363925713255,1.4919025719699692
750,45,900,189.39830676765715,0.7469755236230213
750,46,900,191.57164754429593,0.6013510604617561
750,47,900,188.92548330998522,0.6829359159093048
750,48,900,187.94213836386402,1.0056165916969
750,49,900,188.7429017537719,2.005499870295357
750,50,900,190.8074855875164,1.1386104136274655
750,51,900,191.82633949114842,1.4617672131631532
750,52,900,188.0806515672247,1.607034522909488
750,53,900,194.17645408412233,1.3950062330588693
750,54,900,189.9658172223889,1.5846553528956173
750,55,900,189.49895444564763,1.1108680681371934
750,56,900,190.15918115898154,0.8699275310558198
750,57,900,188.51226610983045,1.2094722481408426
750,58,900,189.93883730323452,1.424419945166028
750,59,900,192.73500662447125,2.114932674365492
750,60,900,189.47792839203998,1.1517797098633404
750,61,900,189.2236259097045,0.4741090272073752
750,62,900,189.80509779162102,0.8917848306698881
750,63,900,189.96416630814426,1.0841745916041376
750,64,900,190.82994522046948,0.4592128217746302
750,65,900,191.37993570691432,0.5782328738949828
750,66,900,191.12226348932109,1.5283338405015747
750,67,900,189.70829804316105,2.1197056518453636
750,68,900,191.76243807783507,0.9012314201216787
750,69,900,190.10045328471568,0.23093210525521096
750,70,900,189.6348841486974,0.5579214830293415
750,71,900,190.87900700472113,1.0311611346851346
750,72,900,188.1795611942913,0.29253425335962063
750,73,900,190.77201246031282,1.970692998513298
750,74,900,190.88166543177752,1.2135151814238543
750,75,900,190.9226939717034,1.1612314775252037
750,76,900,191.8399934876627,0.5767168580170248
750,77,900,190.0575238309788,0.27128222750561254
750,78,900,190.02976226208992,0.9535157063889651
750,79,900,191.40514994007947,1.0826716799155824
750,80,900,189.55163690093084,1.976753444119162
750,81,900,189.29264328848868,2.4051044873314735
750,82,900,188.7296595776819,0.8927381761264561
750,83,900,189.37349205175846,0.23504833589070095
750,84,900,190.06153099617376,1.453484679365998
750,85,900,188.88032063292866,1.0559271792867846
750,86,900,189.57514511064144,0.9509457606920441
750,87,900,188.42629652281457,0.7081101012465891
750,88,900,189.6134634508953,1.1789477926975842
750,89,900,190.03944527993795,0.8472060487323645
750,90,900,190.00715262423526,1.5153420852543098
750,91,900,188.54008307182696,1.459562547747153
750,92,900,190.6332599803156,0.9036278009481646
750,93,900,190.60427391064826,1.1097481125682527
750,94,900,191.48839605873596,0.8127350622123382
750,95,900,190.0010411619418,0.4766251212558899
750,96,900,189.98668342744568,1.1194045169105333
750,97,900,189.7873260489051,1.974472262364739
750,98,900,190.47019783691044,1.3071721331070327
