n,T,true_parameter,estimator_mean,estimator_variance
250,0,190,183.81983959497012,6.611015752314321
250,1,190,188.3985634941992,1.9185258707154766
250,2,190,192.63798256903465,0.6546888121259975
250,3,190,189.96614577741815,1.7379719292017715
250,4,190,193.87923076497307,2.1446480036413087
250,5,190,186.78609104024818,7.8649040784754165
250,6,190,191.3209444626716,3.093613754017558
250,7,190,187.53899972363854,2.441378543383649
250,8,190,187.3128307437968,3.016217533970879
250,9,190,186.96616147856062,3.5732879719900668
250,10,190,196.2985829220003,4.86356868547971
250,11,190,186.529753634953,3.4488941675575235
250,12,190,190.3891308301472,3.006241083419254
250,13,190,191.6279258110799,4.3248274570646945
250,14,190,187.7144913325547,4.696894641797639
250,15,190,189.0657552504104,1.7350312581234455
250,16,190,190.58599035862244,2.3694421530105614
250,17,190,191.03395228544807,2.394693036335579
250,18,190,191.51815174075193,1.9304195262814783
250,19,190,189.36604109275984,4.445440778845558
250,20,190,188.27127905713712,2.6905630813129906
250,21,190,190.3980650398185,5.269292985964234
250,22,190,186.16606810296258,3.739261875783505
250,23,190,188.90435166135765,5.482085707349169
250,24,190,185.38252754238232,1.4324524052373113
250,25,190,189.11088151103726,1.6686653610400346
250,26,190,190.15682838431067,5.130047607354127
250,27,190,190.44973131819333,4.228662570291125
250,28,190,192.38872986826664,1.2971858179136904
250,29,190,193.62214114469936,2.5852243909679635
250,30,190,189.0839130994981,2.586085455269606
250,31,190,191.6558138414468,3.50474062290757
250,32,190,191.65877483219697,9.320151852233895
250,33,190,187.63755098812857,3.9780544873357555
250,34,190,190.14898001097373,2.0454176512256543
250,35,190,189.6538936879992,4.694942241190942
250,36,190,187.36125237509867,2.2072413790212564
250,37,190,189.65766850649317,4.7194002729612965
250,38,190,192.0206313245507,2.236586076279629
250,39,190,187.25776551014954,2.882670678377404
250,40,190,188.7760703664648,5.9166435719348005
250,41,190,191.3815476465398,1.9838548327436534
250,42,190,192.40280826056537,1.8286505749179045
250,43,190,189.87535865528852,2.325952596346302
250,44,190,189.5605671511551,6.568381505772308
250,45,190,188.9427948187634,1.3927572547653884
250,46,190,190.88584463007183,2.2825199348814262
250,47,190,189.25977448359703,3.610700214550848
250,48,190,190.84115805919993,3.537759961781225
250,49,190,188.09660681998716,6.044144915238155
