n,T,true_parameter,estimator_mean,estimator_variance
250,0,900,261.5341805056967,240.96845611562884
250,1,900,259.5687326787879,287.8214547268954
250,2,900,232.0819751823018,256.9020051110769
250,3,900,285.22873464426647,269.3745259435785
250,4,900,270.1313518270566,277.34734860669136
250,5,900,278.635186718894,339.60013834852964
250,6,900,279.8509702455287,286.52898707964414
250,7,900,275.39944995384684,297.8900034787557
250,8,900,266.0365623264644,254.07416722395698
250,9,900,262.48181359988195,167.1072607372714
250,10,900,261.63099442884453,289.7519341994599
250,11,900,257.61001478027197,317.15991823049177
250,12,900,275.49151447804854,249.15835279124616
250,13,900,271.34532551481607,324.0691478523897
250,14,900,238.4327302493958,226.80498443303577
250,15,900,257.55849188495415,232.50950875631594
250,16,900,247.67465201100558,277.2010600665219
250,17,900,266.5882189846144,319.21914131523266
250,18,900,295.86505952305765,401.3974976688342
250,19,900,261.8831637052098,268.9564148596185
250,20,900,255.80379879170084,207.473706068881
250,21,900,273.34050888362225,265.62930710277766
250,22,900,277.2295319736722,405.04471936870533
250,23,900,234.0366654848552,207.7657850258408
250,24,900,276.2226393919704,414.68061797015173
250,25,900,216.24304199612055,190.19869068136367
250,26,900,261.1984644011254,263.5467085640944
250,27,900,255.89678665975032,297.79855664437207
250,28,900,321.9374530864184,482.3331777330369
250,29,900,274.8046925631897,266.62243119837353
250,30,900,277.17183185949017,431.63369721508286
250,31,900,229.34489878408056,194.75271496401962
250,32,900,273.6197501802408,244.59256923524694
250,33,900,251.04415236836456,315.574700309347
250,34,900,217.85432838223426,188.9115124448707
250,35,900,226.60494454046344,155.69788508276093
250,36,900,273.83240205870027,270.7375932720381
250,37,900,285.65936929867115,278.9337581722154
250,38,900,236.67163701643258,219.4887536329209
250,39,900,255.32795691810753,351.5558402055785
250,40,900,290.77753760230155,470.9551402958584
250,41,900,262.2182433471672,279.9818188890118
250,42,900,265.694624369738,253.93126544573914
250,43,900,281.95020184054425,340.8415280267958
250,44,900,261.43876666892294,328.4690758182784
250,45,900,248.51598288508214,230.8511168016427
250,46,900,259.19425477285563,318.57293805832535
250,47,900,242.81642646679273,219.94686940639053
250,48,900,262.8997249118155,238.3286078841762
250,49,900,220.32583014479974,155.6849754695357
250,50,900,262.2447495015015,221.47528608129053
250,51,900,264.65796913054885,221.15788139564887
250,52,900,249.65264678404057,296.162920350366
250,53,900,276.0151256896084,343.087344758183
250,54,900,208.46296827415307,164.30756050483228
250,55,900,280.7479153483507,462.60784399281636
250,56,900,257.721532787192,357.68569504921976
250,57,900,236.03353696233114,199.56203033613804
250,58,900,283.0717026193638,254.40029292055596
250,59,900,270.75680843304957,226.2110868873281
250,60,900,242.11179830066058,272.83382707909936
250,61,900,288.92667592944696,305.0194779982549
250,62,900,247.87407893424134,189.59139797901184
250,63,900,277.71610848943146,331.2957494908229
250,64,900,241.0268559395557,236.22888705762017
250,65,900,253.3011415266361,379.1649987705993
250,66,900,272.96692989576906,293.81271839022315
250,67,900,252.48812707576883,262.2628588618085
250,68,900,259.1007952276143,379.6063121903509
250,69,900,259.4824937987078,272.5136605811885
250,70,900,246.226668030283,201.85431620003513
250,71,900,272.50146622361217,316.10207517195124
250,72,900,268.5802223962051,321.87894841528805
250,73,900,272.10641022593126,225.88531795596802
250,74,900,289.4790183278135,330.3087453582368
250,75,900,270.19431196768306,353.0657370918878
250,76,900,257.0154093122065,281.01692201243566
250,77,900,274.7267653724113,396.8461217579253
250,78,900,239.0893230800734,191.58223333937366
250,79,900,286.1329527439572,381.44932824243097
250,80,900,261.30426830149185,259.67038850423285
250,81,900,242.34092381405964,212.20409858310262
250,82,900,235.77962829732047,202.7246741585682
250,83,900,227.2132840869598,262.1479526007575
250,84,900,220.87556499239057,188.29439192537058
250,85,900,227.2236083701056,172.40981739655012
250,86,900,242.70958262122934,252.1281206358697
250,87,900,246.4407724990146,216.6432251553048
250,88,900,259.7379296635127,362.2355415939766
250,89,900,248.36650023687625,258.71786853694533
250,90,900,281.7985229107626,303.98882715834765
250,91,900,297.0254476040358,457.4240186270186
250,92,900,238.28878977813562,235.83242189406525
250,93,900,247.9184449804201,303.15929499402273
250,94,900,254.1285861274493,291.85508262680776
250,95,900,274.97958099807494,246.85058190557433
250,96,900,241.36401774665055,253.76820787717025
250,97,900,266.13561613069123,263.7757115914071
250,98,900,256.33165756779897,292.4749026492973
250,99,900,269.82975202020884,392.5790771787501
500,0,900,278.9533270273253,323.08570711261405
500,1,900,267.78806783191743,357.57293299370383
500,2,900,267.5323591482019,361.65570895798294
500,3,900,269.29622433408184,319.1972327495224
500,4,900,272.96618204694585,344.5236318861918
500,5,900,262.4114764413696,345.97116410238334
500,6,900,271.01098618983207,264.4662546389403
