n,T,true_parameter,estimator_mean,estimator_variance
250,0,900,753.1809806427093,4972.680146864135
250,1,900,871.9940280500357,5580.34096385549
250,2,900,878.5192668634596,7378.39167373979
250,3,900,903.839439964313,6503.115541759692
250,4,900,840.7160946189861,4911.813440250626
250,5,900,865.0258826299411,3977.4135009672127
250,6,900,817.7175590491719,4607.551440320718
250,7,900,918.1496203141029,5297.672787560435
250,8,900,844.8447184976606,4616.853658795455
250,9,900,928.3615413335567,6564.743518471488
250,10,900,798.3016345996219,5323.950423508304
250,11,900,862.0041964798289,8293.750994780628
250,12,900,916.1071504244898,4537.299644051096
250,13,900,941.0135648241425,6650.963328205258
250,14,900,847.983397657093,5573.639161551233
250,15,900,823.5924154295395,4194.391692226426
250,16,900,852.2616075442398,6007.790995327153
250,17,900,937.4608051882303,7155.173092715391
250,18,900,843.953237120355,5478.353952083735
250,19,900,1022.4121935170591,7783.992659164079
250,20,900,884.5466008746769,7878.55998643763
250,21,900,915.5320259555125,6258.540094200709
250,22,900,845.3929471026964,5754.051870901485
250,23,900,773.5445104105146,4860.318574120326
250,24,900,904.4369470918657,5617.590600648282
250,25,900,901.6905070358143,8807.219257970937
250,26,900,837.3093422905902,4947.0078830085195
250,27,900,766.1028681691516,3638.312421329577
250,28,900,828.7019185976809,5156.195775975898
250,29,900,795.1003816728538,5619.045129799703
250,30,900,748.2907292758855,4219.155583735714
250,31,900,903.1040143202811,5338.661135511035
250,32,900,816.3025864659182,4499.455909895407
250,33,900,984.361914362976,6898.62439135288
250,34,900,775.5230257653227,4565.945926314996
250,35,900,820.4496056616887,4992.752627355438
250,36,900,825.4431353124639,4475.927438928732
250,37,900,855.2406141236299,6748.291973314577
250,38,900,895.4987088319091,5096.054950643638
250,39,900,608.9898358139933,3949.4241875164334
250,40,900,718.5165640598965,4363.7556438351585
250,41,900,817.723661099858,5038.984435811983
250,42,900,849.7146022378323,4985.0454041569365
250,43,900,818.1432203292134,4944.64266724389
250,44,900,885.238426634216,5137.0625175509285
250,45,900,965.8672354768278,5538.23785865034
250,46,900,895.2162850719894,6252.427051071562
250,47,900,848.186318230076,6859.5765875459765
250,48,900,828.5751721672361,5437.127840051108
250,49,900,763.6075129655162,5478.573182241073
250,50,900,779.957528652422,4933.05129329452
250,51,900,903.7398373267885,6403.20917580321
250,52,900,845.1864126077347,5065.862056603684
250,53,900,897.7532175079726,5492.946683477524
250,54,900,805.0658460206962,4201.068171265303
250,55,900,1044.7123266092897,7226.253127743793
250,56,900,792.2014741337287,4054.180228218333
250,57,900,870.4425927576319,6787.9431642651325
250,58,900,967.2367132877487,6000.872138099572
250,59,900,922.9285529572546,6533.713266063342
250,60,900,780.7017589866342,4260.565031000741
250,61,900,914.1608840881363,7373.480549783038
250,62,900,827.9431475705727,4802.959974786882
250,63,900,849.8584457147296,5109.210814062889
250,64,900,847.265090523548,5586.683683254798
250,65,900,915.2131238492651,5483.298990830086
250,66,900,1039.6435087788363,8314.169663297544
250,67,900,885.949359627956,5297.879966895715
250,68,900,788.856854719464,5481.635713785876
250,69,900,842.3536711747289,6551.125951556619
250,70,900,740.395785532524,4659.435321833431
250,71,900,823.3694084510793,4551.704175868849
250,72,900,971.2456095520304,6998.524831405206
250,73,900,842.3356759436323,5142.259513424219
250,74,900,874.4180977206264,4306.455295565907
250,75,900,748.2302989839744,3792.945702896615
250,76,900,827.8691094316812,4786.638934397803
250,77,900,891.9623435371839,8526.321306106789
250,78,900,852.0679132952313,6336.75012091305
250,79,900,818.4283003293142,4295.172738241783
250,80,900,859.1865802353774,5298.557812228636
250,81,900,904.6991700042529,4998.255480000427
250,82,900,831.2806214163342,4337.757055458429
250,83,900,795.655575932981,4550.132520582754
250,84,900,917.5803132841214,6791.000284203078
250,85,900,901.8951345690546,10632.706218516953
250,86,900,871.8483308591021,6095.602057029148
250,87,900,938.3524889149694,7032.269409842705
250,88,900,827.967164879516,6420.578302977685
250,89,900,823.0030444006709,5728.053850788667
250,90,900,821.617131279331,5888.832596274492
250,91,900,843.6393746820501,6259.783155417831
250,92,900,983.8677225784646,6543.113630665501
250,93,900,800.1645047468298,4878.690426105897
250,94,900,873.4219806606228,5444.667184708408
250,95,900,797.5509691026069,5569.655295943149
250,96,900,795.7485639186838,6552.439709360069
250,97,900,768.4340947469615,3894.516331689694
250,98,900,974.5408240519425,7512.532683062161
250,99,900,866.6683018837317,4417.535103745596
500,0,900,820.2279352648371,2748.912567287984
500,1,900,826.3084254106698,2745.450039857894
500,2,900,799.9987761398795,2716.8369798300414
500,3,900,919.8468309571866,3063.685062569049
500,4,900,774.2981273913357,2528.7651612907684
500,5,900,907.246742826094,3702.741040859544
500,6,900,938.7207623130511,3950.711515755599
500,7,900,931.4809083428323,3057.9862314940633
500,8,900,929.1796262858222,3284.029303324713
500,9,900,710.1934876357067,2110.7480281243234
500,10,900,770.438374199856,2310.5466936031257
500,11,900,885.9440890440044,2621.7895730065216
500,12,900,917.2842610017964,2768.201481313231
500,13,900,770.7457693865266,2406.1732314944516
500,14,900,792.5071062046145,2663.0229124411044
500,15,900,848.0571197354562,2935.0036788023576
500,16,900,928.9788320607037,2974.7413709855664
500,17,900,862.71791113842,2996.1703489048755
500,18,900,863.02003726933,2519.175242866261
500,19,900,977.9757206389129,4571.619531155277
500,20,900,891.7289130870677,3465.256944299662
500,21,900,892.1686152814116,3028.8740235568102
500,22,900,959.2120422175187,3481.1980060262563
500,23,900,976.1445309396713,4156.112209367615
500,24,900,808.9324563727729,2573.9064106164287
500,25,900,801.9476538378792,2313.158225640359
500,26,900,819.0770706182892,2653.9388334574032
500,27,900,890.0264184448449,3510.74825804935
500,28,900,917.3581830213336,4289.63086742361
500,29,900,893.4204411914674,2857.644011761791
500,30,900,956.7944813524819,3781.268178563304
500,31,900,788.895948545212,2801.3114069992757
500,32,900,956.4001361438422,3423.0191620489145
500,33,900,886.0886698714728,2909.0442599265843
500,34,900,792.8779318760645,2269.6676588444507
500,35,900,912.2465835604853,3013.6772221278306
500,36,900,865.1964839675305,2816.5895102952563
500,37,900,866.8105183078094,3114.9319834252115
500,38,900,791.1362713076105,2683.184411623525
500,39,900,839.09880334888,3799.087342324727
500,40,900,875.1472606736103,2777.353562472434
500,41,900,843.2953903307182,2442.4434353714087
500,42,900,793.5675857796948,2819.786368842259
500,43,900,845.3340561611418,2709.532072228075
500,44,900,883.9590901754045,3517.680876063332
500,45,900,916.6443801222791,3161.7023086002546
500,46,900,888.4071062465712,3826.256799526219
500,47,900,874.9937057266905,3362.539192487265
500,48,900,907.5527169013825,2892.859918502193
500,49,900,915.2294977640344,3130.3090635560284
500,50,900,861.1089847829422,3072.14115431402
500,51,900,875.5149412671602,3789.940778503157
500,52,900,895.6530288135348,3097.378855545446
500,53,900,911.1334011119685,2697.216665749889
500,54,900,848.4237556167769,2616.8152084641956
500,55,900,917.1367814241737,3445.0058931340086
500,56,900,886.4641287373299,2663.431105926316
500,57,900,970.7803536734054,3947.4496952371132
500,58,900,850.7473894222537,2855.047672928065
500,59,900,870.432004760993,2727.1670806536754
500,60,900,775.9486041504967,2496.8867065777094
500,61,900,875.6702054036352,2601.1205625204784
500,62,900,844.5910481064917,2752.9877774050537
500,63,900,832.2716556256289,3767.063480672431
500,64,900,882.5030814448061,3423.591960364383
500,65,900,907.7252574507656,3439.4882292513444
500,66,900,883.8910025722731,2823.194263974137
500,67,900,847.9305455227774,2972.7793782100207
500,68,900,856.0107772252338,3354.599597043817
500,69,900,862.2653213553378,3090.5265150847704
500,70,900,920.0785560278375,2707.760735856058
500,71,900,997.9171370187618,4278.074473698904
500,72,900,910.652063053031,2973.0215137669366
500,73,900,848.472244788026,2717.7433141976744
500,74,900,854.5983737392935,2263.30353586883
500,75,900,866.6861979446683,2765.603149733635
500,76,900,886.2301020118687,2932.1843720368993
500,77,900,941.0173062661122,3104.016669034457
500,78,900,881.9732609512463,2721.564970801885
500,79,900,882.3276882670843,3162.2458352640383
500,80,900,812.881840310141,2431.457347639945
500,81,900,874.4221430230485,2548.9568671157626
500,82,900,920.4296303203149,3537.201949305586
500,83,900,856.6579409499884,3279.9384662674056
500,84,900,936.0942088068954,3212.575086256102
500,85,900,842.5222398069787,2879.943264413678
500,86,900,880.2608783354408,2891.496791195659
500,87,900,820.8469402514062,2995.610453231661
500,88,900,1004.4397583697352,4183.8884151801485
500,89,900,806.3828892257222,2239.8081683994214
500,90,900,777.7660087138726,2276.2310613718423
500,91,900,884.5770686727385,2725.846576453884
500,92,900,1006.3194673701948,3427.7964389198373
500,93,900,895.6904589009762,2871.7655170778753
500,94,900,879.2143517548841,2712.181430774468
500,95,900,887.6971173738864,2585.8788860453446
500,96,900,855.7335150530541,2783.616341763911
500,97,900,872.9284725365815,2930.082270208565
500,98,900,870.5058372990401,2900.5294113650125
500,99,900,845.0083026404709,3337.2161475732596
750,0,900,928.35504549613,2272.602320554289
750,1,900,851.943601412377,1840.1360959775623
750,2,900,871.578698219839,1710.21175413077
750,3,900,895.1679800053529,2061.091444437598
750,4,900,816.2477130535816,1662.1668943736909
750,5,900,882.009839042545,2052.969692130243
750,6,900,866.8640321782823,1968.6252656044355
750,7,900,910.858816553294,2243.5966945512523
750,8,900,929.591577774206,2113.645634704647
750,9,900,979.0781748479809,2510.6795477621154
750,10,900,889.0926671539366,2107.101239765242
750,11,900,916.7998166870577,2342.376231393441
750,12,900,911.3327767138802,2171.318550582435
750,13,900,912.9852506292025,2176.061110098188
750,14,900,924.3136091903989,2259.1574833330606
750,15,900,909.2348593543536,1981.7528336027106
750,16,900,854.3197975558463,1952.5256578832643
750,17,900,929.3363710651399,2294.339232128384
750,18,900,871.3652750295038,2135.283973127235
750,19,900,779.1391398774444,1505.0648304151478
750,20,900,957.5445206967559,2253.1890257594505
750,21,900,936.5622679331433,2486.389069962497
750,22,900,834.4541330743652,1661.7050301290078
750,23,900,950.3049668590562,2105.5473941916453
750,24,900,827.7492300206508,1492.4388821768139
750,25,900,878.4404186571143,2299.9083287071453
750,26,900,904.8957030651209,1939.3194087488835
750,27,900,865.9131447877317,2283.309608986272
750,28,900,814.663674845993,1788.6436599380581
750,29,900,959.0671524456378,2090.2446955334526
750,30,900,889.5733844710637,2218.3088007336733
750,31,900,942.4112149331783,2481.222915559747
750,32,900,843.5143994683318,1818.222725224075
750,33,900,836.0084444130005,1606.7122943447741
750,34,900,981.7453238921992,2529.523086265657
750,35,900,918.2656889449203,2152.8483733519797
750,36,900,923.120051695184,2338.834220845429
750,37,900,875.3597277988525,2058.2611859388253
750,38,900,867.1113644295256,2297.8947588783885
750,39,900,940.3447425368835,2130.24963458004
750,40,900,959.1259691602434,2786.2404623645343
750,41,900,841.4197014211186,1925.7584332182475
750,42,900,817.6513275435177,1684.5997064967228
750,43,900,844.7234741127686,1717.101515250132
750,44,900,920.611773717524,2677.3542389799486
750,45,900,874.4907200024369,2061.8733937686184
750,46,900,792.0603224377417,1610.3020831689507
750,47,900,831.8867904903312,1967.6580078249274
750,48,900,982.9041767010416,2552.6645054239275
750,49,900,895.9139212789545,2390.271529940825
750,50,900,826.253263685899,1819.5279809906085
750,51,900,875.8934428210598,1896.094572147767
750,52,900,895.473541618558,2071.2061965183407
750,53,900,935.7499331963054,2214.7921266743965
750,54,900,865.4124144365026,2202.6305102677793
750,55,900,962.5557157161514,2700.980614099792
750,56,900,836.7604302941523,1652.5827677724683
750,57,900,860.2295345606942,1837.1893284415012
750,58,900,864.7471852260596,2370.922640094102
750,59,900,906.217442860938,1945.999707238397
750,60,900,900.6159854832761,2195.5287744626385
750,61,900,896.2751007809482,1861.698107750853
750,62,900,885.5998687353216,2178.1820640663927
750,63,900,978.5315481388707,2693.6414722247555
750,64,900,889.0531835463146,1926.1602988206164
750,65,900,907.7881411053386,2166.354821279609
750,66,900,884.6142618541774,2067.3312140371186
750,67,900,861.4909798717393,2099.6772194043297
750,68,900,831.6258237696451,1890.001864774599
750,69,900,958.4788645149672,2220.440464732156
750,70,900,914.694682327613,2261.9762838883858
750,71,900,909.4872208010253,2197.1441696629777
750,72,900,849.262926996444,1752.4968743701222
750,73,900,914.057741787328,1993.2419394551139
750,74,900,896.8766030375193,2110.135491729031
750,75,900,868.1448141091453,2143.034454235213
750,76,900,827.4272642970539,1647.432040843425
750,77,900,898.2969343077955,2217.1462336933882
750,78,900,820.3971559932376,1647.4152673209978
750,79,900,836.2293564194731,1952.8672691034794
750,80,900,896.0898193946268,2220.423278762243
750,81,900,884.0644683573239,1938.566858914202
750,82,900,883.2836332736508,1836.6131328222723
750,83,900,879.4449532717712,1828.6438176980241
750,84,900,905.2706658203035,2076.008111751275
750,85,900,818.7677886872257,1556.1735754561103
750,86,900,831.2121772991284,1698.2883390882466
750,87,900,901.3906793060096,2081.932678709324
750,88,900,900.6617027126606,1863.192895173209
750,89,900,925.991864220204,2120.0418824013873
750,90,900,917.5734178885717,2506.394200712569
750,91,900,817.9222179293461,1694.8921816732425
750,92,900,850.7941543568801,1907.594786757233
750,93,900,889.7323730411557,2082.6583078704875
750,94,900,840.1827184604736,2042.8498100341826
750,95,900,908.190573576678,2010.893192717147
750,96,900,878.9958559618584,2181.6764293324286
750,97,900,868.4235540803227,2375.294617032871
750,98,900,873.1713169662426,2167.2628812304265
750,99,900,819.5661581066691,1993.088037766635
1000,0,900,939.3388438747495,1752.3035681949525
1000,1,900,857.3607642280771,1208.852139919574
1000,2,900,923.6419864599745,1528.0741338873054
1000,3,900,919.6361134408755,1546.7710146315912
1000,4,900,845.8241281978717,1279.0879379873638
1000,5,900,921.7894104835632,1487.6708309382338
1000,6,900,879.5477111650677,1731.274943021088
1000,7,900,935.3994305953469,1715.3561735423696
1000,8,900,910.231177325504,1633.1796169725135
1000,9,900,882.0307219496568,1535.0002226282963
1000,10,900,866.3525535287396,1285.3924646579553
