n,T,true_parameter,estimator_mean,estimator_variance
250,0,4,3.9415999999999998,0.027434239999999954
250,1,4,3.7748000000000004,0.016739359999999988
250,2,4,3.9375999999999998,0.010055039999999998
250,3,4,4.142799999999999,0.0057025600000000145
250,4,4,3.967999999999999,0.008803199999999985
250,5,4,3.8568,0.013503360000000006
250,6,4,4.0548,0.013404959999999985
250,7,4,3.96,0.018896000000000003
250,8,4,3.6308,0.012192159999999997
250,9,4,4.088399999999999,0.012347039999999993
250,10,4,4.272799999999999,0.02442176
250,11,4,4.0108,0.018272160000000013
250,12,4,4.098799999999999,0.00685776
250,13,4,4.007599999999999,0.02086223999999999
250,14,4,3.7228000000000003,0.017033759999999985
250,15,4,3.7488,0.015000959999999985
250,16,4,4.0324,0.00909904
250,17,4,4.364400000000001,0.015172640000000005
250,18,4,3.9212,0.012144159999999994
250,19,4,4.200799999999999,0.011791360000000023
250,20,4,4.0668,0.027753760000000054
250,21,4,3.9656,0.02626623999999997
250,22,4,3.716,0.012047999999999975
250,23,4,4.0656,0.01098943999999999
250,24,4,3.7636000000000003,0.02838543999999995
250,25,4,3.7260000000000004,0.009498399999999985
250,26,4,3.9387999999999996,0.011779359999999977
250,27,4,4.038,0.01067919999999999
250,28,4,4.047199999999999,0.01328575999999998
250,29,4,4.356400000000001,0.009159840000000008
250,30,4,3.9183999999999997,0.015514239999999993
250,31,4,3.5052,0.01116496000000002
250,32,4,3.8844000000000003,0.018875039999999992
250,33,4,4.1091999999999995,0.011353760000000006
250,34,4,4.0292,0.018956959999999988
250,35,4,4.0124,0.014407839999999974
250,36,4,4.022,0.009888800000000008
250,37,4,4.014799999999999,0.017660959999999976
250,38,4,3.9432,0.009532159999999984
250,39,4,4.034,0.00574160000000001
250,40,4,3.7244,0.008286239999999978
250,41,4,3.9111999999999996,0.01972095999999997
250,42,4,3.8639999999999994,0.02038079999999997
250,43,4,4.042,0.011037600000000005
250,44,4,3.8036000000000003,0.010404639999999988
250,45,4,4.2208,0.016245760000000005
250,46,4,3.9972000000000003,0.016844960000000006
250,47,4,4.0920000000000005,0.011142400000000005
250,48,4,3.854,0.007149600000000002
250,49,4,4.024399999999999,0.009195040000000012
250,50,4,3.8260000000000005,0.022282399999999973
250,51,4,3.9931999999999994,0.015510560000000003
250,52,4,3.8788000000000005,0.004700960000000008
250,53,4,3.8496,0.010663039999999978
250,54,4,3.8888,0.010364160000000006
250,55,4,3.91,0.020835999999999986
250,56,4,4.0531999999999995,0.01576015999999999
250,57,4,3.9592,0.012018560000000006
250,58,4,4.0644,0.008391840000000008
250,59,4,3.7440000000000007,0.015167999999999982
250,60,4,4.177999999999999,0.01907920000000004
250,61,4,3.7768,0.01644095999999998
250,62,4,4.312,0.022969600000000027
250,63,4,3.8411999999999997,0.00688976
250,64,4,3.9308000000000005,0.008630559999999983
250,65,4,3.7388000000000003,0.0062305599999999805
250,66,4,4.1864,0.014250240000000022
250,67,4,4.291599999999999,0.015681440000000012
250,68,4,3.8552,0.01707776000000001
250,69,4,4.2776000000000005,0.02428223999999999
250,70,4,4.0520000000000005,0.031878400000000036
250,71,4,3.8196,0.010827039999999993
250,72,4,4.075999999999999,0.007609600000000008
250,73,4,3.8544000000000005,0.00953663999999999
250,74,4,4.0268,0.008499359999999992
250,75,4,3.974,0.00793039999999999
250,76,4,3.9471999999999996,0.01157695999999999
250,77,4,3.9915999999999996,0.017985440000000002
250,78,4,3.9595999999999996,0.015579039999999999
250,79,4,4.1432,0.016312959999999984
250,80,4,4.054399999999999,0.011728639999999985
250,81,4,3.8735999999999997,0.010570240000000003
250,82,4,3.9291999999999994,0.020012960000000003
250,83,4,4.130000000000001,0.01773520000000004
250,84,4,4.1,0.019590399999999987
250,85,4,3.9295999999999993,0.0075206399999999925
250,86,4,3.8711999999999995,0.017256959999999974
250,87,4,3.862799999999999,0.013385759999999991
250,88,4,3.8836,0.01568463999999998
250,89,4,4.2272,0.010338560000000021
250,90,4,3.9136,0.006883840000000012
250,91,4,4.1996,0.014052640000000033
250,92,4,3.9631999999999996,0.016146559999999983
250,93,4,4.0296,0.01751744000000002
250,94,4,4.1788,0.012332960000000006
250,95,4,3.8419999999999996,0.012931999999999971
250,96,4,3.9836,0.008747040000000006
250,97,4,3.9252000000000002,0.02074576
250,98,4,4.0312,0.009272960000000005
250,99,4,4.1248,0.011839360000000012
500,0,4,4.1578,0.00907396000000002
500,1,4,3.9981999999999993,0.002233960000000007
500,2,4,3.8375999999999992,0.006191840000000008
500,3,4,4.071,0.010289799999999993
500,4,4,4.0598,0.014133959999999977
500,5,4,3.8542,0.005350760000000001
500,6,4,3.9836000000000005,0.016383039999999998
500,7,4,3.8415999999999997,0.013206239999999994
500,8,4,3.9656,0.00531664000000001
500,9,4,4.126,0.005396000000000013
500,10,4,3.9833999999999996,0.011642439999999985
500,11,4,3.97,0.006598399999999988
500,12,4,4.0534,0.002144839999999999
500,13,4,3.906,0.0042975999999999934
500,14,4,4.045,0.0045962
